Geo Point;Geo Shape;gid;geom_o;geom_err;typologie;nombre;insee;cdate;mdate
44.8422675,-0.5633753;"{""type"": ""Point"", ""coordinates"": [-0.5633753, 44.8422675]}";1109450464;0;;;2;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8451172,-0.5516562;"{""type"": ""Point"", ""coordinates"": [-0.5516562, 44.8451172]}";1109450578;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8431202,-0.549651;"{""type"": ""Point"", ""coordinates"": [-0.549651, 44.8431202]}";1109450602;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8415789,-0.5526965;"{""type"": ""Point"", ""coordinates"": [-0.5526965, 44.8415789]}";1109450606;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8396263,-0.5581478;"{""type"": ""Point"", ""coordinates"": [-0.5581478, 44.8396263]}";1109450622;0;;;3;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8405265,-0.553507;"{""type"": ""Point"", ""coordinates"": [-0.553507, 44.8405265]}";1109450630;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8320772,-0.585649;"{""type"": ""Point"", ""coordinates"": [-0.585649, 44.8320772]}";1109449894;0;;;5;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8281539,-0.5613721;"{""type"": ""Point"", ""coordinates"": [-0.5613721, 44.8281539]}";1109449908;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8311578,-0.6054707;"{""type"": ""Point"", ""coordinates"": [-0.6054707, 44.8311578]}";1109449964;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8279199,-0.5689081;"{""type"": ""Point"", ""coordinates"": [-0.5689081, 44.8279199]}";1109450010;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8324509,-0.5667949;"{""type"": ""Point"", ""coordinates"": [-0.5667949, 44.8324509]}";1109450108;0;;;6;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8350078,-0.5736683;"{""type"": ""Point"", ""coordinates"": [-0.5736683, 44.8350078]}";1109450138;0;;;4;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8429085,-0.5750943;"{""type"": ""Point"", ""coordinates"": [-0.5750943, 44.8429085]}";1109450242;0;;;5;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.8430046,-0.5772333;"{""type"": ""Point"", ""coordinates"": [-0.5772333, 44.8430046]}";1109450276;0;;;9;33063;2019-07-02T00:00:00+02:00;2019-07-02T00:00:00+02:00
44.878014,-0.5712647;"{""type"": ""Point"", ""coordinates"": [-0.5712647, 44.878014]}";1109522217;0;;;2;33063;2020-07-28T00:00:00+02:00;2020-07-28T00:00:00+02:00
44.8611475,-0.552106;"{""type"": ""Point"", ""coordinates"": [-0.552106, 44.8611475]}";1109522348;0;;;6;33063;2020-07-29T00:00:00+02:00;2020-07-29T00:00:00+02:00
44.8533553,-0.5717908;"{""type"": ""Point"", ""coordinates"": [-0.5717908, 44.8533553]}";1109522364;0;;;3;33063;2020-07-29T00:00:00+02:00;2020-07-29T00:00:00+02:00
